Date,Last Px,P/C
10/8/15,16.04,0.4155
10/7/15,15.57,0.6472
10/6/15,15.74,0.3531
10/5/15,15,3.06
10/2/15,14.77,0.5451
10/1/15,14.58,0.2899
9/30/15,14.68,2.3176
9/29/15,14.61,0.7653
9/28/15,14.38,2.2468
9/25/15,14.72,3.0608
9/24/15,14.59,2.142
9/23/15,14.44,2.7623
9/22/15,14.92,1.5659
9/21/15,15.05,0.5282
9/18/15,14.62,1.0174
9/17/15,15.23,0.8277
9/16/15,15.36,0.8448
9/15/15,14.57,1.4917
9/14/15,14.39,1.3797
9/11/15,14.65,1.4784
9/10/15,14.93,1.7182
9/9/15,14.51,1.2186
9/8/15,15.02,1.1144
9/4/15,15.08,1.3004
9/3/15,15.34,1.0848
9/2/15,15.09,1.1357
9/1/15,14.81,1.4579
8/31/15,15.89,0.7146
8/28/15,14.88,0.7002
8/27/15,13.95,0.7301
8/26/15,12.77,1.7166
8/25/15,12.73,0.8338
8/24/15,12.49,0.7552
8/21/15,13.23,1.2378
8/20/15,13.37,1.76
8/19/15,13.43,0.919
8/18/15,14.05,0.6975
8/17/15,13.89,0.6879
8/14/15,13.99,1.2678
8/13/15,14.09,1.2337
8/12/15,14.44,1.4859
8/11/15,14.49,0.6752
8/10/15,14.89,0.5905
8/7/15,14.56,1.2307
8/6/15,14.87,1.7563
8/5/15,15.03,0.5032
8/4/15,15.22,0.4862
8/3/15,15.1,1.3778
7/31/15,15.59,1.0041
7/30/15,16.1,0.6064
7/29/15,16.24,0.4277
7/28/15,15.85,0.9576
7/27/15,15.65,1.0922
7/24/15,16.03,1.1166
7/23/15,16.14,1.0183
7/22/15,16.34,2.1736
7/21/15,16.91,0.8365
7/20/15,16.69,0.7887
7/17/15,16.99,1.333
7/16/15,17.05,1.7048
7/15/15,17.23,1.0685
7/14/15,17.72,0.8981
7/13/15,17.51,1.0658
7/10/15,17.67,0.9541
7/9/15,17.71,0.6406
7/8/15,17.38,0.9129
7/7/15,17.76,1.0227
7/6/15,17.73,1.3164
7/2/15,18.93,1.515
7/1/15,19.1,1.1366
6/30/15,19.88,0.8237
6/29/15,19.51,1.0725
6/26/15,19.98,1.3755
6/25/15,19.98,1.2054
6/24/15,20.21,0.8044
6/23/15,20.47,0.7323
6/22/15,20.16,1.1401
6/19/15,20.02,1.3006
6/18/15,20.36,1.3361
6/17/15,20.21,1.0416
6/16/15,20.26,1.6745
6/15/15,20.15,0.8653
6/12/15,20.27,1.8497
6/11/15,20.49,1.5678
6/10/15,20.64,1.5371
6/9/15,20.21,1.2257
6/8/15,19.71,1.6938
6/5/15,19.9,2.2914
6/4/15,19.66,1.6348
